category,job_description_new,job_type_new,split
Construction, About Laing O Rourke Laing O Rourke is a 6 billion international operation with 50 years of involvement in Australian construction and infrastructure including more than a decade under the Laing O Rourke banner The business is currently delivering some of Australia s most exciting projects across the transport building construction defence airports mining civil and social infrastructure sectors Laing O Rourke is committed to becoming the recognised leader for innovation and excellence in the construction industry and has twice been named as one of Australia s Top 10 most innovative businesses by BRW Magazine About the role Laing O Rourke is recruiting for an experienced Senior Environmental Advisor for a major Infrastructure project based in Sydney The successful candidate will play a key coaching role to Supervisors and Managers on site drive project environmental performance and promote sustainability initiatives whilst ensuring compliance with Laing O Rourke s processes and procedures Key responsibilities You will liaise with project management client representatives and government agencies to develop solutions and strategy to realise project and business goals Champion Environmental licensing and planning approval interpretation application and compliance You will conduct environmental inspections audits and assist in developing strategies to mitigate identified risks You will have A relevant tertiary qualification in environmental engineering science or similar along with experience working in Environmental Advisor roles across infrastructure projects in Australia You will possess detailed knowledge of environmental and construction legislation and industry practices and experience in leading investigations Culture At Laing O Rourke we work hard to create an environment that brings out the very best in our people We believe in building careers amid a safe connected and innovative culture not just creating jobs We want to equip all our people with the skills they need to be part of a dynamic Engineering Enterprise We have our own specialised learning and development programs providing access to industry leading learning tools to help every employee acquire the core competencies and skills needed to excel in this fast changing environment We have committed to a number of policies and programs to improve our gender composition including our industry leading paid parental leave policy where the primary carer is entitled to 26 weeks of paid leave 18 of which are at full pay and eight weeks at half pay Laing O Rourke is committed to achieving a diverse workforce and strongly encourages applications from Aboriginal and Torres Strait Islanders and people from culturally diverse backgrounds ,Full Time,train
Call Centre & Customer Service, Probate Recovery Specialists Phillips Cohen Associates commenced operations in Australia in 2013 and the market take up of our specialist service has been outstanding As a result we are looking to add the right person to our team to service new contracts We are looking for confident and compassionate negotiators to be a part of an internationally respected recovery business The Company Phillips Cohen Associates pioneered the probate recovery market in 1997 and remain the world s market leader in this highly specialised area of the debt recovery industry With offices in the US Canada and the UK PCA operates its Australian office in Melbourne in Southbank a convenient short distance from Flinders Street station The Role We are looking for individuals who are enthusiastic committed and ambitious self starters You are considered one of the best in your current role Your career background is not as important as your desire to succeed Working in a performance driven team we will need you to be articulate with a highly professional telephone manner and good system skills As we service highly sensitive accounts you must first and foremost be an empathetic and compassionate person Debt collection experience and or call centre experience is preferred but not essential Key responsibilities of the role will include Engaging with representing parties customers in a compassionate and understanding manner with a view to recovering outstanding balances Negotiating repayment plans Documenting accounts thoroughly Achieving minimum requirements on all key performance indicators Working and performing in a pressured environment Complying with government legislation and guidelines Not simply a customer service role we are looking for star performers to achieve excellence Essential skills Excellent Communication both written and verbal A compassionate understanding and mature approach Ability to make confident decisions Ability to establish good working relationships To work well under pressure and to be able to work with people from a variety of backgrounds A consistent professional approach to all tasks What s in it for you Outstanding remuneration package with excellent salary Attractive commission scheme Intensive training programme Prestigious office environment in a superb location If you are interested in consideration for these roles please submit your CV with a covering letter explaining why this role suits you ,Full Time,train
Sales, Global FMCG giant premium brands and multiple channel offerings This is a highly appealing opportunity within a sophisticated business with strong growth potential Boasting a mature and flexible working environment this business has been providing rewarding and international careers for their team fostering high performance and promoting a clear and transparent progression planning process About the role Reporting to the National Sales Manager you will be responsible for managing the strategic relationship with Alternate Channels within your specific category You will be instrumental in driving category growth by executing best in class category strategies accompanied with joint business planning promotional planning and new product development You will leverage your superior customer management ability and ensure the highest level of communication is executed daily To be successful in this role you will need to Have 5 years National Account Management experience in either DDS retail or Pharmacy channels Or worked as a Senor Account Executive having owned a customer Be Degree qualified in Business or similar Possess an understanding of best practice category management accompanied with negotiation and strategic thinking ability Be a natural leader and thrive on working in a team environment Benefits Impressive salary package including a car allowance Centrally located offices with a culture built on work life balance Fantastic progression opportunities How to apply Contact Amy on 8024 7104 for a confidential chat or APPLY NOW ,Full Time,train
Hospitality & Tourism, ENDLESS PROGRESSION IN THE EVENTS WORLD MANAGE ROCK STAR EVENTS AMAZING SET UP VENUE A great opportunity has now come up in one of Sydney s most well known restaurants as they open the next chapter in its long history Plush soundings in its dedicated function this space is ready to go for sit down weddings for 200pax or a corporate canap events for 150pax No expense has been spared in this renovated gem in the CBD The rock star kitchen team pump of the best with pride as you deliver a faultless service on the floor with a supportive team in place Our clients are on the hunt for an experienced events professional to assist the Sales Events Manager with the day to day operations This is a great opportunity for your to further your experience in a premium location working with a team of industry legends Manage the big floor team and built on the already established reputation from the known restaurant Work and manage the floor and events from concept at the sales department to an execution on the day This role calls for a person who knows the value team briefs communicated like a drill sergeant to the loyal team Reap the rewards of working and delivering patrons functions events that s once in a life time Feel free to give Charlie Fussell a buzz on 02 9252 5388 or apply below ,Full Time,train
Administration & Office Support, This rapidly growing Company provides exceptional service and solutions to manage its national Clients They are seeking a dynamic and experienced Customer oriented Account Manager to join their busy team This is a varied busy role where each day will be different Your previous sales customer service experience will see you liaising with internal external customers quoting and assisting in resolutions to secure business Your duties will include Sourcing prices and generating quotes Liaising with Technicians on specific product details Advising customers on technical details product features and benefits Managing existing client accounts Following up customers to secure sale Meeting achievable targets Ideally you will have Previous experience meeting KPI s Dynamic and enthusiastic personality Ability to multi task and be organised Driven to secure business close opportunities Technically minded ability to learn new products Excellent computer and communication skills If this is the job you have been waiting for APPLY NOW ,Full Time,train
Administration & Office Support, As a recognised leader in recruitment Hudson partners with a diverse range of reputable organisations across Melbourne We are currently looking for Strong Administrators who have a current Working with Children s Check Police check available for permanent opportunities across the Eastern Suburbs of Melbourne The successful candidate will have experience in Travel Accommodation Event management Answering and transferring all incoming calls and emails Reporting Tender Administration Liaising with internal and external stakeholders in a professional and courteous manner and providing them with administrative support Meeting and greeting with clients General administration and ad hoc duties and responsibilities Industry environments such as pharmaceutical healthcare Not For Profit FMCG Consumer products or technology etc Skills and attributes that are highly regarded include Advanced MS Office Excel Word PowerPoint Excellent communication skills A confident and professional manner Intermediate to advanced Microsoft office competency Time management skills with the availability to multi task Ability to prioritise and follow up with attention to detail To submit your application in strict confidence please apply online using the appropriate link Alternatively for a confidential discussion please contact Skye Smith in our Mt Waverley office on 03 9535 8202 Your interest will be treated in the strictest of confidence ,Full Time,train
Trades & Services, Daimler Trucks Laverton a part of AHG is a market leading commercial vehicle dealership that represents the globally proven products of Mercedes Benz Freightliner Fuso in Melbourne Due to the ongoing growth of our parts business we have an exciting opportunity for a Junior Service Advisor Trainee to learn the commercial vehicle and transport industry This is an exciting time to gain a long term career and join our dynamic team as we have recently moved into our state of the art dealership It is an opportunity to get the formal training hands on experience you need to become a fully qualified Junior Service Advisor and you don t require truck experience We will put you through a complete intensive training course where you will have classroom training coupled with on the job training so if are enthusiastic and driven then we want you This position is responsible for booking greeting and managing daily client interaction within the service department Reporting to the Service Manager you will be responsible for Duties will include Booking Trucks in for service Meeting customers on their arrival to the service centre Advising customers of when their vehicle will be available The successful candidate will possess Previous experience in dealing with customers face to face Ability to multi task in a fast paced environment High levels of attention to detail Proven ability to build rapport and foster successful relationships Be highly motivated energetic and have the ability to work autonomously Strong verbal and written communication Excellent negotiation skills Strong problems solving skills Exposure to the Microsoft suite of programs Current driver s license Willing to travel to different locations regularly Here is why you should join Australia s largest automotive retailer Automotive Holdings Group is Australasia s largest automotive retailer with more than 180 franchises at more than 100 dealership locations across Australia and New Zealand Founded in 1952 AHG today employs more than 8 300 people and reported Group revenue of more than 6 billion for FY2017 We offer our people extensive training and development opportunities with access to a range of employee benefits including discounted gym memberships health insurance vehicle purchasing and service discounts If you think this role will help you achieve your career goals Then look no further Apply now Daimler Trucks Laverton is an equal opportunity employer that values diversity in the workplace Women are encouraged to apply ,Full Time,train
Legal, Armstrong Legal is a leading contested estates criminal and family law firm With offices in all capital cities along the eastern seaboard and over 80 staff we continue to grow and make a practical difference in the lives of our clients We are seeking a motivated and sincere person to take up a new position to add to and help grow the Estate Litigation practice in our Melbourne office You will join a national team of 6 specialist Estate Litigation solicitors We have high calibre staff that include regular presenters of CLE s Community Education program presenters accredited specialists and solicitor advocates Are you Have prior experience as a Department Team Leader Have skills to manage a small team of Junior Lawyers An Accredited Specialist or do desire to become one Capable of handling your own case load under supervision Able to work within a team environment Sound in the financial aspect of your practice Interested in building your career with a team of like minded professionals We will of course provide you with all of the mentoring support and resources necessary for you to excel in this role but if this sounds like you then this might be the role for you We have no fixed salary for the position as it is our intention to make an appropriate offer to the candidate we think best fits our team If you would like further information or to discuss this position please contact Alun Hill on 02 9261 4555 If you would like to join us please provide us with your resume and a covering letter setting out your career objectives and how this position fits those objectives ,Full Time,train
Hospitality & Tourism, About CLV Campus Living Villages CLV is the leading provider of on campus student accommodation in Australia With over 44 000 beds owned managed or under development across Australia the United States United Kingdom and New Zealand CLV has an extensive track record for creating quality purpose built facilities and managing exciting student communities around the globe The Role An exciting opportunity exists in our Australian business for the role of Village Manager reporting to the General Manager The role will be based at both Abercrombie Student Accommodation and Queen Mary Building managing a total of 1000 beds Key Responsibilities include Oversee the operation of all functions of the Village Work with the General Manager to achieve agreed budgeted occupancy targets Manage and oversee the effective use of StarRez resident management system Work with the General Manager to effectively manage the performance of staff with support from head office Human Resources Manage and support a residential life program that supports the requirements of both the University of Sydney Student Experience and Local Provisions and CLV s Live Learn and Grow framework Work with the Facilities Team to ensure that resident room checks and reports are completed in accordance with Village guidelines and any relevant legislation In conjunction with the General Manager and Head Office marketing staff prepare and implement marketing and sales plans for the Village and all its facilities Recruit and work closely with the Resident Assistant RA team to ensure they possess the appropriate skills to carry out required tasks and implement annual training for RAs In conjunction with the General Manager actively engage with university staff and management to develop and maintain a positive working relationship Essential Skills Experience and Qualifications Ability to analyse interpret and communicate accurate financial information A formal qualification in a relevant area preferably in hotel or business management attained at University or other tertiary educational institution Computer literate with proficiency in Microsoft Office suite database management systems such as StarRez and web content management systems Demonstrated leadership and executive management experience Ability to lead manage and direct staff and contractors in the operation of their duties Experience in the management and leadership of employees An ability and willingness to participate fully in the cultural pastoral and recreational life of the Villages CLV offers an attractive total fixed remuneration TFR which includes employer superannuation contributions and short term incentives To submit your application for this opportunity please send your cover letter updated CV and any other supporting documentation marked to the attention of General Manager by clicking Apply Now Applications must be received by 5PM Friday 27th April 2018 Campus Living Villages is an equal opportunity employer No applications for employment will be assessed on the basis of race colour nationality national extraction social origin education age sex sexual preference gender history marital status partnerships pregnancy impairment disability medical record religion political opinion trade union activity irrelevant criminal record or any other means that contravenes relevant anti discrimination legislation applicable within Australia The preferred applicant will be required to undergo and successfully complete a National Police Check and NSW Working with Children check ,Full Time,train
Government & Defence, Want to be a leader and be part of a bigger team that makes sure Australia s health system is world class affordable and accessible Keep reading Today we have around 250 people who work to help make sure Medicare and the PBS is used well By July this year we will increase to around 400 people We now need some help experienced professionals who can help us ensure compliance and adherence with government legislation and regulations across health professionals in Australia Who are we The Commonwealth Health Department Provider Benefits Integrity Division is responsible for identifying investigating and treating incorrect claiming inappropriate practices and fraud We use a range of tools and approaches including Data analytics Behavioural economics Targeted campaigns Investigations Audit and Professional review Key elements of our work include conducting targeted interventions undertaking analysis and auditing of health providers billings and practices Our activities are informed by comprehensive compliance strategies advanced data analytics and insights from behavioural economics Preparation of complex and or sensitive correspondence and corporate documentation reports submissions proposal papers and notes are critical to the success of our work Our compliance teams work in the areas of Targeted Campaigns Audit Professional Review and Data Integrity and Quality Who are we looking for People with extensive experience and leadership roles in areas such as audit fraud data integrity and quality as well as business improvement What will you do You will lead a team in one of the Compliance Sections Targeted Campaigns Audit Professional Review Pathology Rents Quality These sections undertake a wide range of work including Working with stakeholders to encourage voluntary acknowledgment of incorrect billing and seek repayments Conducting analysis and audit of suspected high value claiming which does not meet legal requirements incorrect claiming Where an audit identifies incorrect claiming the Audit Section will raise debts for any incorrect amounts Review health practitioners GP s Specialists and Allied Health Professionals who may have engaged in possible inappropriate practice and where appropriate refer practitioners of concern to the Director of Professional Services Review Undertaking targeted reviews and regular monthly quality checks of data integrity and decision making surveying providers who have been audited and implementing a continuous business improvement program You will influence and develop strategy policies priorities and practices relating to the health provider compliance program Who are you You are a strong leader and manager understand people and have well developed written and oral communication skills You have a sound understanding and extensive experience in the areas of audit fraud entity analysis or quality management You can ensure compliance work is conducted in a timely manner and to high standards You have a sound understanding of Australian Government health benefits programs and their governing legislation You will be comfortable and experienced exercising a considerable degree of independence with decision making substantially dependent on your high level judgement What you need to know Positions are based in Canberra Brisbane Sydney Melbourne Perth or Adelaide Offices Travel within Australia may be required Security clearance Hold or be able to attain Baseline Security clearance Applicants must be an Australian Citizen Salary EL1 range 100 502 114 624 For further information and to submit an application please refer to Department of Health Applications close Sunday 29 April 2018 11 30pm AEST ,Full Time,train
